FAC_CODE,FACULTY,CRN,COURSE,COURSETITLE,CRNTITLE,SECTION,CREDITS,SCHEDULETYPE,DAY,CTIME,CAMPUS,BLDG,ROOM,SECTION_CAMPUS,INSTNAME,CAPACITY,ATTRIBUTE_CODE,COURSE_ATTRIBUTE,STATUS,COLL_REST,MAJOR_REST,COURSE_LEVEL
06,Science,11284,CMPS241,Introduction to Programming,Introduction to Programming,B5,3,Lab,Monday,1201 - 1400,Beirut,MAIN,Computer Lab M324,Beirut,TBA  TBA,30,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11345,MATH241,Calculus and Analytical Geometry,Calculus and Analytical Geometry,B1,3,Lecture,Monday,1001 - 1300,Beirut,HRIR,HB1 - Jamil Rawwas,Beirut,Noura Mohammad Yassein,80,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11255,CHEM241,Principles of Chemistry,Principles of Chemistry,B1,3,Lecture,Tuesday,0801 - 1100,Beirut,MAIN,M352,Beirut,Nour Ibrahim El Ghouch,120,0600-YCOR,General Science - Core Courses,Closed,"Include:, Engineering, Science",,Undergraduate
06,Science,11378,PHYS243,General Physics,General Physics,B1,3,Lecture,Monday,0801 - 0930,Beirut,MAIN,M352,Beirut,Alaa Mohammad Abdallah,153,0600-YCOR,General Science - Core Courses,4,,,Undergraduate
06,Science,11283,CMPS241,Introduction to Programming,Introduction to Programming,B4,3,Lab,Wednesday,1201 - 1400,Beirut,MAIN,Computer Lab M324,Beirut,Ali  Ghosson,30,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11286,CMPS241,Introduction to Programming,Introduction to Programming,B7,3,Lecture,Wednesday,1001 - 1200,Beirut,HRIR,H712,Beirut,Layal Imad Abou Daher,30,0600-YCOR,General Science - Core Courses,1,"Include:, Science",,Undergraduate
06,Science,11286,CMPS241,Introduction to Programming,Introduction to Programming,B7,3,Lab,Wednesday,1201 - 1400,Beirut,HRIR,H1006-1 Computer Lab,Beirut,TBA  TBA,30,0600-YCOR,General Science - Core Courses,1,"Include:, Science",,Undergraduate
06,Science,11346,MATH241,Calculus and Analytical Geometry,Calculus and Analytical Geometry,B2,3,Lecture,Wednesday,1101 - 1400,Beirut,HRIR,H907-1,Beirut,Noura Mohammad Yassein,80,0600-YCOR,General Science - Core Courses,17,"Include:, Science",,Undergraduate
06,Science,11282,CMPS241,Introduction to Programming,Introduction to Programming,B3,3,Lecture,Wednesday,1001 - 1200,Beirut,HRIR,H1113,Beirut,May Abdelhafiz Itani,20,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11285,CMPS241,Introduction to Programming,Introduction to Programming,B6,3,Lab,Monday,1201 - 1400,Beirut,HRIR,H1006 - Computer Lab,Beirut,Said Jalal Al Hajj Mohammad,30,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11282,CMPS241,Introduction to Programming,Introduction to Programming,B3,3,Lab,Wednesday,1201 - 1400,Beirut,MAIN,Computer Lab M322,Beirut,Omar Ibrahim El Nahhas,20,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
